City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Port Elizabeth,-33.918,25.5701,73.69,94,75,12.66,ZA,2022-02-12 19:03:21
1,Romitan,39.9343,64.3814,33.75,80,0,6.91,UZ,2022-02-12 19:03:22
2,Saint Anthony,45.0205,-93.218,4.28,63,100,6.91,US,2022-02-12 19:03:22
3,Mnogovershinnyy,53.9353,139.9242,6.12,98,100,3.18,RU,2022-02-12 19:03:23
4,Cape Town,-33.9258,18.4232,70.27,78,100,1.99,ZA,2022-02-12 19:03:23
5,Vaini,-21.2,-175.2,80.76,89,20,4.61,TO,2022-02-12 19:03:24
6,Rikitea,-23.1203,-134.9692,79.02,70,3,17.0,PF,2022-02-12 19:03:24
7,Eydhafushi,5.1033,73.0708,81.14,75,100,8.37,MV,2022-02-12 19:03:25
8,Kruisfontein,-34.0033,24.7314,71.38,94,87,5.17,ZA,2022-02-12 19:03:25
9,Port Blair,11.6667,92.75,76.37,72,13,13.6,IN,2022-02-12 19:03:26
10,Jamestown,42.097,-79.2353,31.32,63,100,9.22,US,2022-02-12 19:02:15
11,Cabo San Lucas,22.8909,-109.9124,83.61,46,0,3.0,MX,2022-02-12 19:02:12
12,Albany,42.6001,-73.9662,50.23,58,59,7.0,US,2022-02-12 18:59:40
13,Saquarema,-22.92,-42.5103,80.64,81,35,8.63,BR,2022-02-12 19:03:27
14,Padang,-0.9492,100.3543,76.86,82,96,3.67,ID,2022-02-12 19:00:28
15,Matagami,49.7502,-77.6328,-14.69,70,0,13.8,CA,2022-02-12 19:03:28
16,Krasnoselkup,65.7,82.4667,-6.47,91,6,12.17,RU,2022-02-12 19:03:28
17,Lagoa,39.05,-27.9833,60.17,88,100,22.66,PT,2022-02-12 19:03:29
18,Ribeira Grande,38.5167,-28.7,63.0,82,75,20.71,PT,2022-02-12 19:03:29
19,Namibe,-15.1961,12.1522,76.23,80,83,7.78,AO,2022-02-12 19:03:30
20,Ust-Nera,64.5667,143.2,-35.39,99,60,2.57,RU,2022-02-12 19:03:30
21,Punta Arenas,-53.15,-70.9167,57.31,44,40,35.68,CL,2022-02-12 19:03:30
22,Souillac,-20.5167,57.5167,78.37,86,10,10.29,MU,2022-02-12 19:03:31
23,Butaritari,3.0707,172.7902,82.74,69,99,15.97,KI,2022-02-12 19:00:04
24,Kapaa,22.0752,-159.319,75.18,81,100,4.61,US,2022-02-12 19:03:32
25,Mataura,-46.1927,168.8643,50.49,92,92,2.82,NZ,2022-02-12 19:00:26
26,Vardo,70.3705,31.1107,25.74,71,15,13.0,NO,2022-02-12 19:03:33
27,Tiarei,-17.5333,-149.3333,84.22,73,74,14.76,PF,2022-02-12 19:03:33
28,Port Alfred,-33.5906,26.891,75.87,91,1,13.15,ZA,2022-02-12 19:01:08
29,Castro,-24.7911,-50.0119,80.06,44,17,1.99,BR,2022-02-12 19:03:34
30,Tuktoyaktuk,69.4541,-133.0374,-30.75,98,20,4.79,CA,2022-02-12 19:03:34
31,Ancud,-41.8697,-73.8203,80.22,61,84,5.23,CL,2022-02-12 19:01:51
32,Tiksi,71.6872,128.8694,-8.57,90,88,16.67,RU,2022-02-12 19:03:35
33,Khelyulya,61.7333,30.6833,25.18,93,37,8.68,RU,2022-02-12 19:03:36
34,La Ronge,55.1001,-105.2842,-10.95,53,40,3.44,CA,2022-02-12 18:59:49
35,Gizo,-8.103,156.8419,80.85,73,100,3.62,SB,2022-02-12 19:03:36
36,Ostrovnoy,68.0531,39.5131,11.75,94,60,8.52,RU,2022-02-12 19:03:37
37,Ushuaia,-54.8,-68.3,51.96,43,3,10.83,AR,2022-02-12 19:01:36
38,Ilo,-17.6394,-71.3375,74.7,67,90,9.48,PE,2022-02-12 19:03:37
39,Port Moresby,-9.4431,147.1797,74.16,84,35,3.76,PG,2022-02-12 19:03:38
40,Conde,-7.2597,-34.9075,85.46,70,75,10.36,BR,2022-02-12 19:03:38
41,Lodja,-3.4833,23.4333,72.14,89,79,0.63,CD,2022-02-12 19:03:39
42,Santa Maria,-29.6842,-53.8069,70.23,94,100,2.93,BR,2022-02-12 19:03:39
43,Saint George,37.1041,-113.5841,64.87,20,0,3.44,US,2022-02-12 19:03:40
44,Romny,50.751,33.4747,23.05,91,6,7.43,UA,2022-02-12 19:04:40
45,Avarua,-21.2078,-159.775,78.85,89,100,2.3,CK,2022-02-12 19:04:41
46,Northam,51.0333,-4.2167,49.01,96,100,20.85,GB,2022-02-12 19:04:41
47,Bredasdorp,-34.5322,20.0403,68.29,76,100,5.37,ZA,2022-02-12 19:04:42
48,Carthage,36.8611,10.3316,53.13,76,20,5.75,TN,2022-02-12 19:04:42
49,Amapa,1.0,-52.0,81.45,76,93,4.25,BR,2022-02-12 19:04:43
50,Zhigansk,66.7697,123.3711,-33.65,100,83,3.96,RU,2022-02-12 19:04:43
51,Anadyr,64.75,177.4833,-38.43,99,64,6.85,RU,2022-02-12 19:03:20
52,Evensk,61.95,159.2333,-12.33,74,19,6.93,RU,2022-02-12 19:04:44
53,Salalah,17.0151,54.0924,75.29,64,75,6.91,OM,2022-02-12 19:04:44
54,Hornostayivka,47.0078,33.729,36.93,65,100,18.41,UA,2022-02-12 19:04:45
55,Iralaya,15.0,-83.2333,84.29,69,35,12.41,HN,2022-02-12 19:04:45
56,Naxos,37.1056,25.3764,56.3,78,100,7.0,GR,2022-02-12 19:00:20
57,Olafsvik,64.8945,-23.7142,26.69,71,41,19.6,IS,2022-02-12 19:04:46
58,Broome,42.2506,-75.833,43.21,59,75,14.97,US,2022-02-12 19:04:47
59,Grand Gaube,-20.0064,57.6608,78.39,83,8,3.0,MU,2022-02-12 19:04:47
60,Sao Filipe,14.8961,-24.4956,79.41,44,54,20.58,CV,2022-02-12 19:04:48
61,Busselton,-33.65,115.3333,56.08,74,0,12.41,AU,2022-02-12 19:04:48
62,Bethel,41.3712,-73.414,57.02,50,97,5.01,US,2022-02-12 18:59:52
63,Cidreira,-30.1811,-50.2056,78.76,69,1,18.14,BR,2022-02-12 19:04:49
64,East London,-33.0153,27.9116,77.43,86,0,12.86,ZA,2022-02-12 19:04:50
65,Hobart,-42.8794,147.3294,57.25,76,100,6.91,AU,2022-02-12 19:00:23
66,Arraial Do Cabo,-22.9661,-42.0278,80.46,69,75,8.05,BR,2022-02-12 19:04:51
67,Kurilsk,45.2333,147.8833,27.75,87,100,3.22,RU,2022-02-12 19:04:52
68,Peniche,39.3558,-9.3811,57.61,82,43,9.75,PT,2022-02-12 19:04:52
69,Liku,-0.7275,119.8922,72.95,97,100,1.61,ID,2022-02-12 19:04:52
70,Hilo,19.7297,-155.09,77.25,69,0,1.99,US,2022-02-12 19:00:48
71,Eureka,40.8021,-124.1637,71.2,71,0,1.99,US,2022-02-12 19:04:53
72,Henties Bay,-22.116,14.2845,71.85,80,77,6.2,NA,2022-02-12 19:00:25
73,Piacabucu,-10.4056,-36.4344,85.39,63,5,15.1,BR,2022-02-12 19:04:54
74,Dunmore East,52.1514,-6.9861,49.68,94,100,16.04,IE,2022-02-12 19:04:55
75,Dikson,73.5069,80.5464,-2.11,77,100,27.42,RU,2022-02-12 19:01:09
76,Mingshui,36.7167,117.5,35.85,77,100,5.59,CN,2022-02-12 19:04:55
77,Yellowknife,62.456,-114.3525,-12.71,83,26,1.99,CA,2022-02-12 19:01:01
78,Benjamin Constant,-4.3831,-70.0311,82.45,74,75,4.61,BR,2022-02-12 19:04:56
79,Taywarah,33.35,64.4167,21.15,50,62,3.51,AF,2022-02-12 19:04:57
80,Saint-Philippe,-21.3585,55.7679,78.35,85,19,10.4,RE,2022-02-12 19:04:57
81,Kaitangata,-46.2817,169.8464,50.94,72,100,9.13,NZ,2022-02-12 19:04:58
82,Xining,36.6167,101.7667,12.15,68,100,1.95,CN,2022-02-12 19:04:58
83,Gamba,-2.65,10.0,78.62,87,100,5.82,GA,2022-02-12 19:04:59
84,Koshurnikovo,54.1667,93.3,-13.95,100,23,2.62,RU,2022-02-12 19:05:00
85,Barrow,71.2906,-156.7887,-28.01,100,96,7.45,US,2022-02-12 19:00:02
86,Seminole,28.7086,-81.2081,84.56,39,0,1.99,US,2022-02-12 19:05:00
87,Alofi,-19.0595,-169.9187,81.95,74,86,17.69,NU,2022-02-12 19:05:01
88,Saskylakh,71.9167,114.0833,0.48,75,44,12.06,RU,2022-02-12 19:06:02
89,Kavaratti,10.5669,72.642,80.64,71,5,8.43,IN,2022-02-12 19:06:03
90,Mount Gambier,-37.8333,140.7667,64.42,50,100,7.34,AU,2022-02-12 19:06:03
91,Carauari,-4.8828,-66.8958,89.06,60,92,1.61,BR,2022-02-12 19:06:04
92,Qaanaaq,77.484,-69.3632,-20.29,47,0,8.5,GL,2022-02-12 19:06:04
93,Klaksvik,62.2266,-6.589,40.12,88,100,9.86,FO,2022-02-12 19:06:05
94,Paka,4.6374,103.4368,75.18,87,65,6.6,MY,2022-02-12 19:06:05
95,Bluff,-46.6,168.3333,50.81,68,100,13.96,NZ,2022-02-12 19:06:06
96,Petauke,-14.2426,31.3253,64.0,96,66,3.78,ZM,2022-02-12 19:06:06
97,Ilulissat,69.2167,-51.1,24.82,86,75,23.02,GL,2022-02-12 19:01:17
98,Belaya Gora,68.5333,146.4167,-23.44,91,100,6.08,RU,2022-02-12 19:06:07
99,Tam Ky,15.5667,108.4833,75.18,92,90,4.9,VN,2022-02-12 19:06:07
100,Chor,25.5167,69.7667,66.02,29,0,8.93,PK,2022-02-12 19:06:08
101,Lebu,-37.6167,-73.65,67.86,60,31,12.28,CL,2022-02-12 19:01:40
102,Kokopo,-4.352,152.2633,76.15,88,100,6.17,PG,2022-02-12 19:06:09
103,Lujan,-34.5703,-59.105,74.01,53,0,5.01,AR,2022-02-12 19:06:09
104,Hermanus,-34.4187,19.2345,68.81,86,100,8.14,ZA,2022-02-12 19:06:10
105,Burgos,42.3394,-3.7079,43.21,81,20,5.75,ES,2022-02-12 19:06:10
106,Bandarbeyla,9.4942,50.8122,76.42,66,100,12.88,SO,2022-02-12 19:06:11
107,Karasburg,-28.0167,18.75,69.17,74,100,17.83,NA,2022-02-12 19:06:11
108,Dubovka,49.0583,44.829,31.15,99,100,7.16,RU,2022-02-12 19:06:12
109,Puerto Ayora,-0.7393,-90.3518,87.76,84,100,4.0,EC,2022-02-12 19:06:12
110,Boissevain,49.2306,-100.0559,9.05,87,100,11.05,CA,2022-02-12 19:06:13
111,Beringovskiy,63.05,179.3167,-25.98,95,11,7.65,RU,2022-02-12 19:06:13
112,Manzhouli,49.6,117.4333,-19.17,99,52,3.74,CN,2022-02-12 19:06:14
113,Victoria,22.2855,114.1577,65.25,88,100,8.01,HK,2022-02-12 19:06:14
114,Ambositra,-20.5167,47.25,62.51,88,95,4.27,MG,2022-02-12 19:06:15
115,Ambilobe,-13.2,49.05,72.34,97,74,2.82,MG,2022-02-12 19:06:16
116,Coihaique,-45.5752,-72.0662,84.81,36,0,4.61,CL,2022-02-12 19:05:58
117,Etchoropo,26.7667,-109.6667,74.19,35,100,9.13,MX,2022-02-12 19:06:16
118,Dingle,10.9995,122.6711,74.43,92,36,8.39,PH,2022-02-12 19:06:17
119,Jardim,-21.4803,-56.1381,99.72,22,98,4.99,BR,2022-02-12 19:06:17
120,Nikolskoye,59.7035,30.7861,34.72,96,100,12.12,RU,2022-02-12 19:06:18
121,Preobrazheniye,42.9019,133.9064,14.76,65,1,7.05,RU,2022-02-12 19:06:18
122,Karratha,-20.7377,116.8463,85.89,66,100,2.04,AU,2022-02-12 19:06:19
123,Yar-Sale,66.8333,70.8333,-8.1,91,100,14.85,RU,2022-02-12 19:06:19
124,Yulara,-25.2406,130.9889,69.64,43,0,6.91,AU,2022-02-12 19:06:20
125,Luwingu,-10.2621,29.9271,62.91,96,98,1.83,ZM,2022-02-12 19:06:20
126,Gardabani,41.4605,45.0928,44.69,47,63,3.8,GE,2022-02-12 19:06:21
127,Klyuchi,52.2667,79.1667,15.78,94,100,11.48,RU,2022-02-12 19:06:21
128,Pangnirtung,66.1451,-65.7125,-2.2,78,100,5.75,CA,2022-02-12 19:06:22
129,Lakatoro,-16.0999,167.4164,78.75,86,100,1.77,VU,2022-02-12 19:06:22
130,Korla,41.7597,86.1469,29.62,45,99,8.14,CN,2022-02-12 19:06:23
131,Polkowice,51.5039,16.0726,33.01,80,64,5.73,PL,2022-02-12 19:07:23
132,Thompson,55.7435,-97.8558,-3.33,77,26,8.16,CA,2022-02-12 19:07:24
133,Okhotsk,59.3833,143.3,-13.99,81,9,9.46,RU,2022-02-12 19:07:24
134,Puerto Del Rosario,28.5004,-13.8627,67.68,77,20,9.22,ES,2022-02-12 19:04:28
135,Tuatapere,-46.1333,167.6833,50.83,79,100,7.29,NZ,2022-02-12 19:07:25
136,Kodiak,57.79,-152.4072,38.71,65,0,11.5,US,2022-02-12 19:07:26
137,Mikhaylovka,50.06,43.2379,31.78,95,100,8.77,RU,2022-02-12 19:07:26
138,Raudeberg,61.9875,5.1352,41.67,92,100,7.0,NO,2022-02-12 19:07:27
139,Cherskiy,68.75,161.3,-21.23,98,100,10.2,RU,2022-02-12 19:07:27
140,Pa Sang,18.5262,98.9394,73.11,35,45,1.12,TH,2022-02-12 19:07:28
141,Mount Isa,-20.7333,139.5,73.17,94,4,5.75,AU,2022-02-12 19:07:28
142,Bundaberg,-24.85,152.35,68.29,88,40,6.91,AU,2022-02-12 19:07:29
143,Pevek,69.7008,170.3133,-23.31,98,100,9.42,RU,2022-02-12 19:07:29
144,Sisimiut,66.9395,-53.6735,12.31,84,100,28.86,GL,2022-02-12 19:07:31
145,Hambantota,6.1241,81.1185,75.54,100,40,6.91,LK,2022-02-12 19:07:31
146,Poum,-20.2333,164.0167,80.71,75,100,2.98,NC,2022-02-12 19:07:32
147,Srednekolymsk,67.45,153.6833,-31.97,98,95,7.25,RU,2022-02-12 19:07:32
148,Airai,-8.9266,125.4092,58.84,93,71,2.42,TL,2022-02-12 19:07:33
149,Georgetown,5.4112,100.3354,82.33,72,20,3.44,MY,2022-02-12 19:06:52
150,Araouane,18.9048,-3.5265,67.91,14,0,9.26,ML,2022-02-12 19:07:34
151,Encheng,22.1839,112.3026,65.97,74,100,3.87,CN,2022-02-12 19:07:34
152,Urumqi,43.801,87.6005,9.55,92,75,2.24,CN,2022-02-12 19:06:02
153,Sakakah,29.9697,40.2064,52.38,35,0,4.92,SA,2022-02-12 19:07:35
154,New Norfolk,-42.7826,147.0587,56.91,68,100,3.2,AU,2022-02-12 19:07:35
155,Antalaha,-14.9003,50.2788,74.7,89,44,6.44,MG,2022-02-12 19:07:36
156,Kuandian,40.7286,124.7847,22.23,65,100,4.94,CN,2022-02-12 19:05:18
157,Jejuri,18.2833,74.1667,69.6,37,50,2.3,IN,2022-02-12 19:07:36
158,Hithadhoo,-0.6,73.0833,81.5,68,100,9.35,MV,2022-02-12 19:07:37
159,Guerrero Negro,27.9769,-114.0611,73.0,31,100,2.64,MX,2022-02-12 19:07:37
160,Shelburne,44.0787,-80.2041,18.12,75,100,13.04,CA,2022-02-12 19:07:38
161,Sorong,-0.8833,131.25,79.77,81,100,7.27,ID,2022-02-12 19:07:39
162,Plouzane,48.3833,-4.6167,48.25,81,100,13.8,FR,2022-02-12 19:07:39
163,Dicabisagan,17.0818,122.4157,74.59,89,57,3.38,PH,2022-02-12 19:07:39
164,Severo-Kurilsk,50.6789,156.125,17.78,77,31,1.99,RU,2022-02-12 19:06:47
165,Dhidhdhoo,6.8833,73.1,81.3,74,100,5.82,MV,2022-02-12 19:07:40
166,Puerto Madryn,-42.7692,-65.0385,76.86,25,96,8.12,AR,2022-02-12 19:07:40
167,Dunedin,-45.8742,170.5036,49.8,78,100,10.0,NZ,2022-02-12 19:07:41
168,Bosaso,11.2842,49.1816,75.7,69,57,4.63,SO,2022-02-12 19:07:42
169,Bengkulu,-3.8004,102.2655,75.92,84,79,4.29,ID,2022-02-12 19:07:42
170,Kirkuk,35.4681,44.3922,51.53,52,0,7.49,IQ,2022-02-12 19:07:42
171,Upernavik,72.7868,-56.1549,-3.98,98,100,15.19,GL,2022-02-12 19:07:43
172,Pacific Grove,36.6177,-121.9166,77.81,48,0,3.44,US,2022-02-12 19:07:43
173,Hasaki,35.7333,140.8333,27.0,61,90,6.33,JP,2022-02-12 19:03:15
174,Newport,51.5877,-2.9984,48.85,87,100,22.55,GB,2022-02-12 19:07:44
175,Patharia,23.9,79.2,58.32,36,0,4.36,IN,2022-02-12 19:07:45
176,Aquiraz,-3.9014,-38.3911,86.09,71,57,9.66,BR,2022-02-12 19:07:45
177,Kenai,60.5544,-151.2583,22.14,96,20,0.0,US,2022-02-12 19:03:46
178,Novoagansk,61.9449,76.6625,-4.92,94,6,10.16,RU,2022-02-12 19:08:46
179,Atuona,-9.8,-139.0333,77.67,77,6,13.58,PF,2022-02-12 19:08:46
180,Nuuk,64.1835,-51.7216,16.41,86,100,11.5,GL,2022-02-12 19:08:47
181,Inhambane,-23.865,35.3833,75.94,71,5,10.16,MZ,2022-02-12 19:08:48
182,Lompoc,34.6391,-120.4579,85.51,20,0,6.91,US,2022-02-12 19:08:48
183,Acari,-15.4311,-74.6158,82.17,55,26,12.03,PE,2022-02-12 19:08:49
184,Matara,5.9485,80.5353,75.33,91,100,4.18,LK,2022-02-12 19:08:49
185,Lamar,33.6668,-95.5836,38.86,32,75,14.97,US,2022-02-12 19:08:50
186,Muros,42.7762,-9.0603,54.1,81,20,4.68,ES,2022-02-12 19:08:50
187,Chokurdakh,70.6333,147.9167,-2.45,95,100,13.69,RU,2022-02-12 19:08:51
188,Los Llanos De Aridane,28.6585,-17.9182,64.15,80,75,14.97,ES,2022-02-12 19:08:51
189,Honiara,-9.4333,159.95,76.59,89,96,3.44,SB,2022-02-12 19:08:52
190,Kirakira,-10.4544,161.9205,77.97,84,99,4.38,SB,2022-02-12 19:08:52
